"Etiological / microbiological context

“If a secondary infection occurs, what pathogens are involved?”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source_id,citation,pmid,doi,country,setting,population,study_design,pathogen_scope,acquisition_context,hospital_acquired_definition,diagnostic_method,surveillance_frame,comparator_group,risk_factor_name,canonical_feature_name,risk_factor_type,feature_class,temporal_stage,risk_factor_definition,finding_text,effect_size,effect_size_type,confidence_interval,p_value,effect_direction,evidence_strength,adjustment_level,outcome_linked,clinical_context,applicability_to_influenza,key_limitations,study_reported_implication,codeblue_translation,tags,factor_role,data_status
zhou_2018,Zhou et al. 2018,29413513,10.1016/j.rmed.2017.11.017,China,Chinese national hospital network,232 severe influenza patients with secondary nosocomial infection described in abstract,Prospective cohort analysis,Influenza,Hospitalized severe influenza cohort,Nosocomial infection occurring after admission among severe influenza patients,Microbiology from national network,2009 pandemic period,Descriptive microbiology of secondary nosocomial infection,acinetobacter_baumannii_leading_pathogen,acinetobacter_baumannii,pathogen_interaction,pathogen,post_infection,Acinetobacter baumannii among secondary nosocomial pathogens,Acinetobacter baumannii was one of the leading pathogens causing nosocomial infection after severe influenza,NR,descriptive,NR,NR,contextual,medium,Descriptive,pathogen profile,Hospitalized severe influenza A(H1N1)pdm09 patients,influenza_only,Abstract gives leading pathogens but not exact counts per pathogen,Gram-negative hospital pathogens were prominent after severe influenza,Add A. baumannii to likely secondary-infection pathogen set,PATHOGEN PROFILE; SECONDARY INFECTION,pathogen_interaction,ready_partial
zhou_2018,Zhou et al. 2018,29413513,10.1016/j.rmed.2017.11.017,China,Chinese national hospital network,232 severe influenza patients with secondary nosocomial infection described in abstract,Prospective cohort analysis,Influenza,Hospitalized severe influenza cohort,Nosocomial infection occurring after admission among severe influenza patients,Microbiology from national network,2009 pandemic period,Descriptive microbiology of secondary nosocomial infection,pseudomonas_aeruginosa_leading_pathogen,pseudomonas_aeruginosa,pathogen_interaction,pathogen,post_infection,Pseudomonas aeruginosa among secondary nosocomial pathogens,Pseudomonas aeruginosa was one of the leading pathogens causing nosocomial infection after severe influenza,NR,descriptive,NR,NR,contextual,medium,Descriptive,pathogen profile,Hospitalized severe influenza A(H1N1)pdm09 patients,influenza_only,Abstract gives leading pathogens but not exact counts per pathogen,Gram-negative hospital pathogens were prominent after severe influenza,Add P. aeruginosa to likely secondary-infection pathogen set,PATHOGEN PROFILE; SECONDARY INFECTION,pathogen_interaction,ready_partial
zhou_2018,Zhou et al. 2018,29413513,10.1016/j.rmed.2017.11.017,China,Chinese national hospital network,232 severe influenza patients with secondary nosocomial infection described in abstract,Prospective cohort analysis,Influenza,Hospitalized severe influenza cohort,Nosocomial infection occurring after admission among severe influenza patients,Microbiology from national network,2009 pandemic period,Descriptive microbiology of secondary nosocomial infection,stenotrophomonas_maltophilia_leading_pathogen,stenotrophomonas_maltophilia,pathogen_interaction,pathogen,post_infection,Stenotrophomonas maltophilia among secondary nosocomial pathogens,Stenotrophomonas maltophilia was one of the leading pathogens causing nosocomial infection after severe influenza,NR,descriptive,NR,NR,contextual,medium,Descriptive,pathogen profile,Hospitalized severe influenza A(H1N1)pdm09 patients,influenza_only,Abstract gives leading pathogens but not exact counts per pathogen,Hospital-acquired opportunistic pathogens complicated severe influenza,Add S. maltophilia to likely secondary-infection pathogen set,PATHOGEN PROFILE; SECONDARY INFECTION,pathogen_interaction,ready_partial
zhou_2018,Zhou et al. 2018,29413513,10.1016/j.rmed.2017.11.017,China,Chinese national hospital network,232 severe influenza patients with secondary nosocomial infection described in abstract,Prospective cohort analysis,Influenza,Hospitalized severe influenza cohort,Nosocomial infection occurring after admission among severe influenza patients,Microbiology from national network,2009 pandemic period,Descriptive microbiology of secondary nosocomial infection,staphylococcus_aureus_leading_pathogen,staphylococcus_aureus,pathogen_interaction,pathogen,post_infection,Staphylococcus aureus among secondary nosocomial pathogens,Staphylococcus aureus was one of the leading pathogens causing nosocomial infection after severe influenza,NR,descriptive,NR,NR,contextual,medium,Descriptive,pathogen profile,Hospitalized severe influenza A(H1N1)pdm09 patients,influenza_only,Abstract gives leading pathogens but not exact counts per pathogen,Bacterial complications after severe influenza include S. aureus,Add S. aureus to likely secondary-infection pathogen set,PATHOGEN PROFILE; SECONDARY INFECTION,pathogen_interaction,ready_partial
zhou_2018,Zhou et al. 2018,29413513,10.1016/j.rmed.2017.11.017,China,Chinese national hospital network,232 severe influenza patients with secondary nosocomial infection described in abstract,Prospective cohort analysis,Influenza,Hospitalized severe influenza cohort,Nosocomial infection occurring after admission among severe influenza patients,Microbiology from national network,2009 pandemic period,Descriptive microbiology of secondary nosocomial infection,invasive_fungal_infection_fraction,invasive_fungal_infection,pathogen_interaction,pathogen,post_infection,Invasive fungal infection among secondary nosocomial infections,Invasive fungal infection was found in 30 cases among patients with secondary nosocomial infection,12.9%,proportion,NR,NR,increase_risk,medium,Descriptive,pathogen profile,Hospitalized severe influenza A(H1N1)pdm09 patients,influenza_only,Abstract-level descriptive microbiology only,Fungal secondary infection is a non-negligible complication after severe influenza,Add invasive fungal infection as an important secondary-infection subtype,FUNGAL INFECTION; SECONDARY INFECTION,pathogen_interaction,ready
mangas_moro_2023,Mangas-Moro et al. 2023,36064786,10.1016/j.eimce.2022.08.005,Spain,Third-level university hospital,1260 hospitalized patients with microbiologically confirmed influenza over 10 seasons; 110 nosocomial cases,Observational cross-sectional retrospective study,Influenza,Hospital-acquired / compared,Nosocomial influenza defined as symptom onset 72 h after admission,Microbiological confirmation,2009-2019,HAI vs CAI,hospital_acquired_influenza_status,hai_status,comparative_outcome,comparative_outcome,post_infection,Hospital-acquired vs community-acquired influenza status among confirmed influenza patients,Hospital-acquired influenza was independently associated with greater bacterial superinfection,1.64,ORa,1.06-2.53,NR,increase_risk,high,Multivariable logistic regression,bacterial superinfection,Hospitalized influenza patients,influenza_only,"Comparator is HAI vs CAI among already infected patients, not infected vs non-infected",HAI carried higher burden of secondary bacterial complication,Use HAI status as a secondary-infection escalation modifier,SECONDARY INFECTION; BACTERIAL,severity_associated,ready
fan_2025,Fan et al. 2025,40855472,10.1186/s12879-025-11455-8,China,"Beijing Ditan Hospital, Capital Medical University",185 hospitalized VRTI patients with hospital-acquired DRPs infection; 280 drug-resistant isolates,Retrospective microbiology + ML study,Influenza and COVID-19 mixed VRTI,Hospital-acquired pathogen overlap,DRPs detected after the first 48 h of hospitalization,Culture + AST,2018-2024,DRPs isolates in mixed VRTI patients,pseudomonas_aeruginosa_overlap,pseudomonas_aeruginosa,comparative_profile,pathogen,post_viral_infection,Hospital-acquired drug-resistant Pseudomonas aeruginosa in VRTI patients,"Pseudomonas aeruginosa was the most frequent overall isolate (46/280), mainly from sputum, with >89% resistance to ceftriaxone and cefotaxime, but relatively higher susceptibility to ceftazidime, cefepime, and amikacin",46/280,isolate_frequency,NR,NR,contextual,high,Descriptive microbiology,pathogen overlap and resistance profile,Hospital-acquired DRPs in VRTI patients,mixed_vrti_partial,Mixed influenza/COVID cohort; not influenza-only superinfection,P. aeruginosa was a dominant resistant overlap pathogen with major beta-lactam resistance,Add P. aeruginosa as a major overlap organism in pathogen-interactions logic,PSEUDOMONAS; DRP; SPUTUM,comparative_profile,ready_partial
fan_2025,Fan et al. 2025,40855472,10.1186/s12879-025-11455-8,China,"Beijing Ditan Hospital, Capital Medical University",185 hospitalized VRTI patients with hospital-acquired DRPs infection; 280 drug-resistant isolates,Retrospective microbiology + ML study,Influenza and COVID-19 mixed VRTI,Hospital-acquired pathogen overlap,DRPs detected after the first 48 h of hospitalization,Culture + AST,2018-2024,DRPs isolates in mixed VRTI patients,klebsiella_pneumoniae_overlap,klebsiella_pneumoniae,comparative_profile,pathogen,post_viral_infection,Hospital-acquired drug-resistant Klebsiella pneumoniae in VRTI patients,"Klebsiella pneumoniae was the second most frequent isolate (45/280) and showed high resistance to penicillins, cephalosporins, quinolones, and carbapenems, with imipenem resistance 53.3% and meropenem resistance 46.7%",45/280,isolate_frequency,NR,NR,contextual,high,Descriptive microbiology,pathogen overlap and resistance profile,Hospital-acquired DRPs in VRTI patients,mixed_vrti_partial,Mixed influenza/COVID cohort; not influenza-only superinfection,K. pneumoniae was a major resistant overlap pathogen with alarming carbapenem resistance,Add K. pneumoniae as a high-priority overlap organism,KLEBSIELLA; DRP; CARBAPENEM RESISTANCE,comparative_profile,ready_partial
fan_2025,Fan et al. 2025,40855472,10.1186/s12879-025-11455-8,China,"Beijing Ditan Hospital, Capital Medical University",185 hospitalized VRTI patients with hospital-acquired DRPs infection; 280 drug-resistant isolates,Retrospective microbiology + ML study,Influenza and COVID-19 mixed VRTI,Hospital-acquired pathogen overlap,DRPs detected after the first 48 h of hospitalization,Culture + AST,2018-2024,DRPs isolates in mixed VRTI patients,acinetobacter_baumannii_overlap,acinetobacter_baumannii,comparative_profile,pathogen,post_viral_infection,Hospital-acquired drug-resistant Acinetobacter baumannii in VRTI patients,"Acinetobacter baumannii was the third most frequent isolate (42/280), predominated in BAL fluid, and was highly resistant to nearly all tested antibiotics, with only partial susceptibility to minocycline and trimethoprim-sulfamethoxazole",42/280,isolate_frequency,NR,NR,contextual,high,Descriptive microbiology,pathogen overlap and resistance profile,Hospital-acquired DRPs in VRTI patients,mixed_vrti_partial,Mixed influenza/COVID cohort; not influenza-only superinfection,A. baumannii represented a highly resistant overlap organism with very limited treatment options,Add A. baumannii as a critical resistant overlap pathogen,ACINETOBACTER; DRP; BAL,comparative_profile,ready_partial
